日付,商品名,カテゴリ,地域,数量,単価,売上金額
2026-01-14,ギフトセット,ギフト,札幌,2,4500,9000
2026-01-14,コーヒー豆200g,食品,大阪,1,1500,1500
2026-01-15,ドリップコーヒー12杯,食品,大阪,1,1200,1200
2026-01-15,カフェオレベース,食品,福岡,2,980,1960
2026-01-16,ドリップコーヒー12杯,食品,福岡,3,1200,3600
2026-01-16,ドリップコーヒー12杯,食品,東京,2,1200,2400
2026-01-17,カフェオレベース,食品,東京,1,980,980
2026-01-17,定期便（月1）,サブスク,大阪,3,3600,10800
2026-01-17,タンブラー,雑貨,東京,5,2800,14000
2026-01-17,ドリップパックギフト,ギフト,その他,4,3200,12800
2026-01-18,ドリップコーヒー12杯,食品,大阪,1,1200,1200
2026-01-18,カフェオレベース,食品,東京,1,980,980
2026-01-18,定期便（月1）,サブスク,東京,3,3600,10800
2026-01-18,カフェオレベース,食品,大阪,4,980,3920
2026-01-19,ドリップコーヒー12杯,食品,東京,5,1200,6000
2026-01-19,タンブラー,雑貨,名古屋,2,2800,5600
2026-01-19,ドリップコーヒー12杯,食品,名古屋,2,1200,2400
2026-01-19,ドリップパックギフト,ギフト,東京,5,3200,16000
2026-01-19,ドリップコーヒー12杯,食品,東京,2,1200,2400
2026-01-20,カフェオレベース,食品,その他,2,980,1960
2026-01-20,タンブラー,雑貨,東京,1,2800,2800
2026-01-20,マグカップ,雑貨,名古屋,1,1800,1800
2026-01-21,コーヒー豆200g,食品,福岡,1,1500,1500
2026-01-21,カフェオレベース,食品,福岡,1,980,980
2026-01-21,コーヒー豆200g,食品,福岡,1,1500,1500
2026-01-21,カフェオレベース,食品,その他,5,980,4900
2026-01-22,タンブラー,雑貨,名古屋,1,2800,2800
2026-01-22,コーヒー豆200g,食品,東京,1,1500,1500
2026-01-23,ドリップコーヒー12杯,食品,札幌,2,1200,2400
2026-01-23,マグカップ,雑貨,その他,2,1800,3600
2026-01-23,ドリップコーヒー12杯,食品,札幌,1,1200,1200
2026-01-23,マグカップ,雑貨,その他,1,1800,1800
2026-01-24,定期便（月1）,サブスク,福岡,1,3600,3600
2026-01-24,コーヒー豆200g,食品,東京,1,1500,1500
2026-01-24,マグカップ,雑貨,札幌,2,1800,3600
2026-01-25,定期便（月1）,サブスク,札幌,1,3600,3600
2026-01-25,カフェオレベース,食品,東京,1,980,980
2026-01-25,ギフトセット,ギフト,名古屋,1,4500,4500
2026-01-25,ギフトセット,ギフト,名古屋,1,4500,4500
2026-01-25,ドリップコーヒー12杯,食品,東京,4,1200,4800
2026-01-25,定期便（月1）,サブスク,名古屋,3,3600,10800
2026-01-26,カフェオレベース,食品,東京,1,980,980
2026-01-26,定期便（月1）,サブスク,その他,1,3600,3600
2026-01-26,カフェオレベース,食品,福岡,2,980,1960
2026-01-27,ギフトセット,ギフト,札幌,1,4500,4500
2026-01-27,マグカップ,雑貨,東京,4,1800,7200
2026-01-27,ドリップパックギフト,ギフト,その他,3,3200,9600
2026-01-27,定期便（月1）,サブスク,東京,2,3600,7200
2026-01-28,ドリップパックギフト,ギフト,大阪,2,3200,6400
2026-01-28,ギフトセット,ギフト,東京,1,4500,4500
2026-01-28,ギフトセット,ギフト,大阪,1,4500,4500
2026-01-28,カフェオレベース,食品,東京,4,980,3920
2026-01-29,コーヒー豆200g,食品,福岡,1,1500,1500
2026-01-29,ドリップコーヒー12杯,食品,東京,1,1200,1200
2026-01-29,ドリップパックギフト,ギフト,その他,1,3200,3200
2026-01-29,マグカップ,雑貨,大阪,5,1800,9000
2026-01-30,定期便（月1）,サブスク,東京,5,3600,18000
2026-01-30,ドリップコーヒー12杯,食品,その他,1,1200,1200
2026-01-30,ドリップコーヒー12杯,食品,大阪,2,1200,2400
2026-01-30,コーヒー豆200g,食品,名古屋,2,1500,3000
2026-01-31,定期便（月1）,サブスク,東京,1,3600,3600
2026-01-31,カフェオレベース,食品,名古屋,3,980,2940
2026-01-31,マグカップ,雑貨,その他,2,1800,3600
2026-01-31,コーヒー豆200g,食品,大阪,4,1500,6000
2026-01-31,定期便（月1）,サブスク,名古屋,2,3600,7200
2026-01-31,ドリップコーヒー12杯,食品,その他,2,1200,2400
2026-01-31,マグカップ,雑貨,大阪,2,1800,3600
2026-01-31,タンブラー,雑貨,東京,2,2800,5600
2026-02-01,マグカップ,雑貨,その他,2,1800,3600
2026-02-01,コーヒー豆200g,食品,名古屋,1,1500,1500
2026-02-01,コーヒー豆200g,食品,大阪,2,1500,3000
2026-02-01,マグカップ,雑貨,大阪,1,1800,1800
2026-02-01,コーヒー豆200g,食品,大阪,4,1500,6000
2026-02-01,ドリップパックギフト,ギフト,東京,1,3200,3200
2026-02-01,タンブラー,雑貨,名古屋,1,2800,2800
2026-02-01,ドリップパックギフト,ギフト,福岡,2,3200,6400
2026-02-02,ドリップパックギフト,ギフト,東京,1,3200,3200
2026-02-02,定期便（月1）,サブスク,名古屋,3,3600,10800
2026-02-02,カフェオレベース,食品,札幌,2,980,1960
2026-02-03,タンブラー,雑貨,東京,2,2800,5600
2026-02-03,ドリップコーヒー12杯,食品,福岡,3,1200,3600
2026-02-03,ドリップコーヒー12杯,食品,大阪,1,1200,1200
2026-02-03,定期便（月1）,サブスク,名古屋,1,3600,3600
2026-02-03,コーヒー豆200g,食品,札幌,1,1500,1500
2026-02-04,マグカップ,雑貨,その他,2,1800,3600
2026-02-04,定期便（月1）,サブスク,札幌,2,3600,7200
2026-02-04,ギフトセット,ギフト,名古屋,3,4500,13500
2026-02-04,タンブラー,雑貨,札幌,2,2800,5600
2026-02-04,カフェオレベース,食品,東京,1,980,980
2026-02-05,ギフトセット,ギフト,名古屋,2,4500,9000
2026-02-05,コーヒー豆200g,食品,東京,1,1500,1500
2026-02-05,コーヒー豆200g,食品,大阪,2,1500,3000
2026-02-05,ドリップコーヒー12杯,食品,東京,2,1200,2400
2026-02-06,ドリップコーヒー12杯,食品,大阪,2,1200,2400
2026-02-06,カフェオレベース,食品,東京,1,980,980
2026-02-06,定期便（月1）,サブスク,名古屋,2,3600,7200
2026-02-07,カフェオレベース,食品,その他,1,980,980
2026-02-07,カフェオレベース,食品,札幌,3,980,2940
2026-02-07,タンブラー,雑貨,福岡,3,2800,8400
2026-02-07,定期便（月1）,サブスク,大阪,1,3600,3600
2026-02-07,カフェオレベース,食品,大阪,2,980,1960
2026-02-07,ドリップパックギフト,ギフト,福岡,3,3200,9600
2026-02-07,定期便（月1）,サブスク,その他,2,3600,7200
2026-02-07,定期便（月1）,サブスク,名古屋,2,3600,7200
2026-02-08,マグカップ,雑貨,東京,1,1800,1800
2026-02-08,ドリップコーヒー12杯,食品,大阪,1,1200,1200
2026-02-08,コーヒー豆200g,食品,福岡,1,1500,1500
2026-02-09,コーヒー豆200g,食品,東京,1,1500,1500
2026-02-09,タンブラー,雑貨,その他,1,2800,2800
2026-02-09,マグカップ,雑貨,福岡,2,1800,3600
2026-02-09,ギフトセット,ギフト,その他,1,4500,4500
2026-02-09,ドリップコーヒー12杯,食品,東京,1,1200,1200
2026-02-09,マグカップ,雑貨,名古屋,1,1800,1800
2026-02-10,ギフトセット,ギフト,東京,2,4500,9000
2026-02-10,ギフトセット,ギフト,東京,3,4500,13500
2026-02-10,定期便（月1）,サブスク,東京,1,3600,3600
2026-02-10,コーヒー豆200g,食品,福岡,4,1500,6000
2026-02-11,定期便（月1）,サブスク,東京,2,3600,7200
2026-02-11,ドリップパックギフト,ギフト,東京,2,3200,6400
2026-02-11,コーヒー豆200g,食品,福岡,3,1500,4500
2026-02-11,ドリップパックギフト,ギフト,名古屋,1,3200,3200
2026-02-11,タンブラー,雑貨,福岡,1,2800,2800
2026-02-11,マグカップ,雑貨,東京,1,1800,1800
2026-02-12,ドリップコーヒー12杯,食品,その他,2,1200,2400
2026-02-12,ドリップパックギフト,ギフト,福岡,1,3200,3200
2026-02-12,ギフトセット,ギフト,その他,1,4500,4500
2026-02-12,ドリップパックギフト,ギフト,名古屋,1,3200,3200
2026-02-12,カフェオレベース,食品,福岡,1,980,980
2026-02-12,ドリップパックギフト,ギフト,札幌,1,3200,3200
2026-02-13,コーヒー豆200g,食品,大阪,2,1500,3000
2026-02-13,カフェオレベース,食品,東京,3,980,2940
2026-02-13,ドリップコーヒー12杯,食品,東京,3,1200,3600
2026-02-13,コーヒー豆200g,食品,札幌,2,1500,3000
2026-02-13,コーヒー豆200g,食品,東京,4,1500,6000
2026-02-13,ドリップコーヒー12杯,食品,福岡,1,1200,1200
2026-02-14,マグカップ,雑貨,名古屋,1,1800,1800
2026-02-14,ドリップパックギフト,ギフト,東京,1,3200,3200
2026-02-14,マグカップ,雑貨,大阪,2,1800,3600
2026-02-14,カフェオレベース,食品,名古屋,1,980,980
2026-02-14,ギフトセット,ギフト,大阪,2,4500,9000
2026-02-15,コーヒー豆200g,食品,東京,2,1500,3000
2026-02-15,コーヒー豆200g,食品,福岡,4,1500,6000
2026-02-15,マグカップ,雑貨,東京,2,1800,3600
2026-02-15,コーヒー豆200g,食品,名古屋,3,1500,4500
2026-02-15,マグカップ,雑貨,その他,3,1800,5400
2026-02-15,コーヒー豆200g,食品,大阪,1,1500,1500
2026-02-16,コーヒー豆200g,食品,その他,2,1500,3000
2026-02-16,マグカップ,雑貨,東京,3,1800,5400
2026-02-16,カフェオレベース,食品,札幌,2,980,1960
2026-02-17,カフェオレベース,食品,大阪,5,980,4900
2026-02-17,コーヒー豆200g,食品,札幌,1,1500,1500
2026-02-17,ドリップコーヒー12杯,食品,大阪,2,1200,2400
2026-02-17,マグカップ,雑貨,東京,3,1800,5400
2026-02-17,定期便（月1）,サブスク,東京,1,3600,3600
2026-02-17,タンブラー,雑貨,大阪,2,2800,5600
2026-02-18,ギフトセット,ギフト,大阪,4,4500,18000
2026-02-18,コーヒー豆200g,食品,名古屋,1,1500,1500
2026-02-18,タンブラー,雑貨,東京,5,2800,14000
2026-02-19,定期便（月1）,サブスク,東京,1,3600,3600
2026-02-19,マグカップ,雑貨,東京,1,1800,1800
2026-02-20,ドリップコーヒー12杯,食品,大阪,2,1200,2400
2026-02-20,カフェオレベース,食品,東京,1,980,980
2026-02-21,ギフトセット,ギフト,大阪,2,4500,9000
2026-02-21,定期便（月1）,サブスク,福岡,2,3600,7200
2026-02-21,マグカップ,雑貨,その他,1,1800,1800
2026-02-21,タンブラー,雑貨,名古屋,4,2800,11200
2026-02-21,ドリップパックギフト,ギフト,東京,1,3200,3200
2026-02-21,コーヒー豆200g,食品,福岡,2,1500,3000
2026-02-22,カフェオレベース,食品,大阪,1,980,980
2026-02-22,カフェオレベース,食品,東京,2,980,1960
2026-02-22,カフェオレベース,食品,名古屋,4,980,3920
2026-02-22,ギフトセット,ギフト,名古屋,1,4500,4500
2026-02-22,コーヒー豆200g,食品,福岡,3,1500,4500
2026-02-22,タンブラー,雑貨,東京,3,2800,8400
2026-02-23,タンブラー,雑貨,福岡,1,2800,2800
2026-02-23,タンブラー,雑貨,大阪,1,2800,2800
2026-02-23,定期便（月1）,サブスク,大阪,3,3600,10800
2026-02-23,定期便（月1）,サブスク,大阪,1,3600,3600
2026-02-23,コーヒー豆200g,食品,東京,1,1500,1500
2026-02-24,マグカップ,雑貨,東京,4,1800,7200
2026-02-24,ドリップパックギフト,ギフト,名古屋,1,3200,3200
2026-02-24,コーヒー豆200g,食品,大阪,5,1500,7500
2026-02-24,カフェオレベース,食品,名古屋,5,980,4900
2026-02-24,マグカップ,雑貨,名古屋,1,1800,1800
2026-02-24,ドリップコーヒー12杯,食品,大阪,3,1200,3600
2026-02-25,ギフトセット,ギフト,東京,2,4500,9000
2026-02-25,定期便（月1）,サブスク,大阪,2,3600,7200
2026-02-25,ドリップコーヒー12杯,食品,その他,2,1200,2400
2026-02-25,コーヒー豆200g,食品,東京,2,1500,3000
2026-02-25,タンブラー,雑貨,東京,5,2800,14000
2026-02-25,定期便（月1）,サブスク,大阪,1,3600,3600
2026-02-26,タンブラー,雑貨,福岡,2,2800,5600
2026-02-26,コーヒー豆200g,食品,札幌,5,1500,7500
2026-02-26,コーヒー豆200g,食品,名古屋,1,1500,1500
2026-02-27,ドリップパックギフト,ギフト,東京,3,3200,9600
2026-02-27,カフェオレベース,食品,その他,2,980,1960
2026-02-27,ドリップパックギフト,ギフト,東京,1,3200,3200
2026-02-28,ドリップパックギフト,ギフト,大阪,1,3200,3200
2026-02-28,コーヒー豆200g,食品,福岡,1,1500,1500
2026-02-28,定期便（月1）,サブスク,札幌,5,3600,18000
2026-02-28,コーヒー豆200g,食品,大阪,3,1500,4500
2026-02-28,カフェオレベース,食品,大阪,1,980,980
2026-02-28,定期便（月1）,サブスク,大阪,5,3600,18000
2026-02-28,ドリップパックギフト,ギフト,福岡,1,3200,3200
2026-02-28,定期便（月1）,サブスク,東京,5,3600,18000
2026-03-01,ドリップパックギフト,ギフト,札幌,1,3200,3200
2026-03-01,タンブラー,雑貨,大阪,2,2800,5600
2026-03-01,カフェオレベース,食品,福岡,1,980,980
2026-03-01,カフェオレベース,食品,その他,1,980,980
2026-03-01,マグカップ,雑貨,名古屋,3,1800,5400
2026-03-01,ドリップパックギフト,ギフト,札幌,1,3200,3200
2026-03-01,コーヒー豆200g,食品,福岡,3,1500,4500
2026-03-02,マグカップ,雑貨,東京,2,1800,3600
2026-03-02,コーヒー豆200g,食品,東京,1,1500,1500
2026-03-03,ギフトセット,ギフト,福岡,1,4500,4500
2026-03-03,ドリップコーヒー12杯,食品,東京,1,1200,1200
2026-03-04,ドリップパックギフト,ギフト,東京,1,3200,3200
2026-03-04,ドリップコーヒー12杯,食品,名古屋,2,1200,2400
2026-03-04,ドリップパックギフト,ギフト,東京,1,3200,3200
2026-03-04,ドリップパックギフト,ギフト,名古屋,1,3200,3200
2026-03-04,定期便（月1）,サブスク,東京,1,3600,3600
2026-03-05,カフェオレベース,食品,福岡,4,980,3920
2026-03-05,カフェオレベース,食品,東京,2,980,1960
2026-03-05,ドリップコーヒー12杯,食品,その他,5,1200,6000
2026-03-05,コーヒー豆200g,食品,その他,2,1500,3000
2026-03-05,カフェオレベース,食品,大阪,5,980,4900
2026-03-06,ドリップコーヒー12杯,食品,大阪,1,1200,1200
2026-03-06,コーヒー豆200g,食品,福岡,1,1500,1500
2026-03-06,ドリップパックギフト,ギフト,大阪,1,3200,3200
2026-03-06,ドリップパックギフト,ギフト,福岡,5,3200,16000
2026-03-06,定期便（月1）,サブスク,福岡,3,3600,10800
2026-03-06,定期便（月1）,サブスク,福岡,1,3600,3600
2026-03-07,コーヒー豆200g,食品,東京,1,1500,1500
2026-03-07,ギフトセット,ギフト,福岡,2,4500,9000
2026-03-07,ドリップコーヒー12杯,食品,東京,2,1200,2400
2026-03-07,ドリップコーヒー12杯,食品,福岡,1,1200,1200
2026-03-07,カフェオレベース,食品,東京,4,980,3920
2026-03-07,コーヒー豆200g,食品,大阪,1,1500,1500
2026-03-07,ドリップパックギフト,ギフト,札幌,1,3200,3200
2026-03-08,ドリップパックギフト,ギフト,東京,3,3200,9600
2026-03-08,カフェオレベース,食品,札幌,2,980,1960
2026-03-08,コーヒー豆200g,食品,東京,5,1500,7500
2026-03-08,ドリップコーヒー12杯,食品,その他,3,1200,3600
2026-03-08,ギフトセット,ギフト,その他,5,4500,22500
2026-03-08,ドリップパックギフト,ギフト,大阪,3,3200,9600
2026-03-08,ドリップコーヒー12杯,食品,名古屋,1,1200,1200
2026-03-09,タンブラー,雑貨,札幌,4,2800,11200
2026-03-09,ドリップコーヒー12杯,食品,東京,1,1200,1200
2026-03-09,定期便（月1）,サブスク,名古屋,4,3600,14400
2026-03-09,コーヒー豆200g,食品,東京,3,1500,4500
2026-03-09,定期便（月1）,サブスク,大阪,1,3600,3600
2026-03-10,ドリップコーヒー12杯,食品,東京,5,1200,6000
2026-03-10,ドリップコーヒー12杯,食品,東京,2,1200,2400
2026-03-10,カフェオレベース,食品,大阪,4,980,3920
2026-03-10,マグカップ,雑貨,名古屋,2,1800,3600
2026-03-11,定期便（月1）,サブスク,福岡,3,3600,10800
2026-03-11,マグカップ,雑貨,その他,1,1800,1800
2026-03-11,マグカップ,雑貨,東京,1,1800,1800
2026-03-11,コーヒー豆200g,食品,大阪,5,1500,7500
2026-03-12,タンブラー,雑貨,その他,1,2800,2800
2026-03-12,カフェオレベース,食品,東京,1,980,980
2026-03-12,ドリップパックギフト,ギフト,大阪,2,3200,6400
2026-03-12,マグカップ,雑貨,名古屋,1,1800,1800
2026-03-12,ドリップパックギフト,ギフト,東京,1,3200,3200
2026-03-13,ドリップコーヒー12杯,食品,福岡,1,1200,1200
2026-03-13,コーヒー豆200g,食品,札幌,1,1500,1500
2026-03-13,ドリップコーヒー12杯,食品,その他,1,1200,1200
2026-03-13,ドリップパックギフト,ギフト,東京,1,3200,3200
2026-03-14,ドリップパックギフト,ギフト,東京,3,3200,9600
2026-03-14,ドリップコーヒー12杯,食品,大阪,3,1200,3600
2026-03-14,タンブラー,雑貨,東京,1,2800,2800
2026-03-14,ドリップコーヒー12杯,食品,大阪,1,1200,1200
2026-03-14,ドリップコーヒー12杯,食品,大阪,1,1200,1200
2026-03-14,マグカップ,雑貨,大阪,1,1800,1800
2026-03-14,マグカップ,雑貨,福岡,4,1800,7200
2026-03-15,カフェオレベース,食品,その他,1,980,980
2026-03-15,カフェオレベース,食品,大阪,2,980,1960
2026-03-15,カフェオレベース,食品,その他,1,980,980
2026-03-15,ドリップコーヒー12杯,食品,名古屋,1,1200,1200
2026-03-15,コーヒー豆200g,食品,名古屋,2,1500,3000
2026-03-15,コーヒー豆200g,食品,その他,2,1500,3000
2026-03-15,カフェオレベース,食品,名古屋,1,980,980
2026-03-16,ドリップパックギフト,ギフト,福岡,3,3200,9600
2026-03-16,ギフトセット,ギフト,東京,1,4500,4500
2026-03-17,カフェオレベース,食品,札幌,1,980,980
2026-03-17,ギフトセット,ギフト,大阪,1,4500,4500
2026-03-17,コーヒー豆200g,食品,その他,2,1500,3000
2026-03-17,カフェオレベース,食品,東京,1,980,980
2026-03-18,ドリップコーヒー12杯,食品,福岡,3,1200,3600
2026-03-18,タンブラー,雑貨,名古屋,2,2800,5600
2026-03-18,コーヒー豆200g,食品,東京,1,1500,1500
2026-03-18,マグカップ,雑貨,福岡,3,1800,5400
2026-03-18,ギフトセット,ギフト,その他,2,4500,9000
2026-03-18,コーヒー豆200g,食品,名古屋,1,1500,1500
2026-03-19,コーヒー豆200g,食品,東京,3,1500,4500
2026-03-19,カフェオレベース,食品,福岡,2,980,1960
2026-03-19,ドリップパックギフト,ギフト,札幌,5,3200,16000
2026-03-19,ドリップパックギフト,ギフト,名古屋,2,3200,6400
2026-03-19,ドリップコーヒー12杯,食品,その他,3,1200,3600
2026-03-19,コーヒー豆200g,食品,東京,2,1500,3000
2026-03-20,定期便（月1）,サブスク,大阪,1,3600,3600
2026-03-20,ドリップコーヒー12杯,食品,福岡,1,1200,1200
2026-03-20,ギフトセット,ギフト,その他,1,4500,4500
2026-03-20,タンブラー,雑貨,大阪,1,2800,2800
2026-03-20,ドリップコーヒー12杯,食品,大阪,1,1200,1200
2026-03-21,定期便（月1）,サブスク,東京,3,3600,10800
2026-03-21,ドリップコーヒー12杯,食品,東京,1,1200,1200
2026-03-21,カフェオレベース,食品,名古屋,1,980,980
2026-03-22,ギフトセット,ギフト,東京,1,4500,4500
2026-03-22,コーヒー豆200g,食品,福岡,1,1500,1500
2026-03-22,マグカップ,雑貨,東京,1,1800,1800
2026-03-22,マグカップ,雑貨,東京,1,1800,1800
2026-03-22,コーヒー豆200g,食品,東京,1,1500,1500
2026-03-23,ドリップコーヒー12杯,食品,大阪,1,1200,1200
2026-03-23,ドリップコーヒー12杯,食品,名古屋,1,1200,1200
2026-03-23,タンブラー,雑貨,福岡,1,2800,2800
2026-03-23,カフェオレベース,食品,福岡,1,980,980
2026-03-23,カフェオレベース,食品,東京,1,980,980
2026-03-24,タンブラー,雑貨,福岡,1,2800,2800
2026-03-24,ドリップコーヒー12杯,食品,東京,1,1200,1200
2026-03-24,ドリップパックギフト,ギフト,名古屋,3,3200,9600
2026-03-24,定期便（月1）,サブスク,東京,3,3600,10800
2026-03-24,コーヒー豆200g,食品,名古屋,2,1500,3000
2026-03-24,カフェオレベース,食品,大阪,1,980,980
2026-03-25,ギフトセット,ギフト,東京,2,4500,9000
2026-03-25,タンブラー,雑貨,東京,3,2800,8400
2026-03-25,コーヒー豆200g,食品,その他,2,1500,3000
2026-03-25,ドリップコーヒー12杯,食品,東京,1,1200,1200
2026-03-25,ドリップコーヒー12杯,食品,東京,3,1200,3600
2026-03-26,ドリップコーヒー12杯,食品,福岡,1,1200,1200
2026-03-26,ギフトセット,ギフト,福岡,1,4500,4500
2026-03-27,ドリップパックギフト,ギフト,名古屋,1,3200,3200
2026-03-27,ドリップコーヒー12杯,食品,大阪,1,1200,1200
2026-03-27,コーヒー豆200g,食品,東京,2,1500,3000
2026-03-27,コーヒー豆200g,食品,大阪,1,1500,1500
2026-03-27,ドリップパックギフト,ギフト,東京,3,3200,9600
2026-03-28,マグカップ,雑貨,名古屋,1,1800,1800
2026-03-28,タンブラー,雑貨,福岡,4,2800,11200
2026-03-28,カフェオレベース,食品,札幌,2,980,1960
2026-03-29,マグカップ,雑貨,名古屋,4,1800,7200
2026-03-29,カフェオレベース,食品,札幌,3,980,2940
2026-03-29,定期便（月1）,サブスク,東京,2,3600,7200
2026-03-29,ドリップコーヒー12杯,食品,福岡,5,1200,6000
2026-03-29,タンブラー,雑貨,名古屋,1,2800,2800
2026-03-29,定期便（月1）,サブスク,大阪,3,3600,10800
2026-03-29,マグカップ,雑貨,東京,2,1800,3600
2026-03-30,ドリップコーヒー12杯,食品,東京,2,1200,2400
2026-03-30,コーヒー豆200g,食品,福岡,2,1500,3000
2026-03-30,定期便（月1）,サブスク,札幌,1,3600,3600
2026-03-30,タンブラー,雑貨,東京,1,2800,2800
2026-03-30,定期便（月1）,サブスク,福岡,1,3600,3600
2026-03-31,コーヒー豆200g,食品,大阪,3,1500,4500
2026-03-31,ドリップパックギフト,ギフト,福岡,3,3200,9600
