日付,商品名,カテゴリ,地域,数量,単価,売上金額
2026-04-11,カフェオレベース,食品,札幌,4,980,3920
2026-04-12,定期便（月1）,サブスク,東京,5,3600,18000
2026-04-12,タンブラー,雑貨,東京,4,2800,11200
2026-04-12,ドリップコーヒー12杯,食品,福岡,5,1200,6000
2026-04-13,定期便（月1）,サブスク,大阪,4,3600,14400
2026-04-13,ドリップパックギフト,ギフト,東京,5,3200,16000
2026-04-13,ドリップパックギフト,ギフト,大阪,1,3200,3200
2026-04-13,カフェオレベース,食品,その他,1,980,980
2026-04-13,定期便（月1）,サブスク,札幌,4,3600,14400
2026-04-13,ドリップコーヒー12杯,食品,福岡,4,1200,4800
2026-04-14,ギフトセット,ギフト,名古屋,3,4500,13500
2026-04-14,カフェオレベース,食品,その他,1,980,980
2026-04-14,マグカップ,雑貨,大阪,4,1800,7200
2026-04-14,カフェオレベース,食品,その他,4,980,3920
2026-04-15,マグカップ,雑貨,東京,2,1800,3600
2026-04-15,ギフトセット,ギフト,福岡,5,4500,22500
2026-04-15,コーヒー豆200g,食品,東京,5,1500,7500
2026-04-15,マグカップ,雑貨,その他,5,1800,9000
2026-04-15,コーヒー豆200g,食品,札幌,1,1500,1500
2026-04-15,ギフトセット,ギフト,東京,5,4500,22500
2026-04-16,コーヒー豆200g,食品,東京,4,1500,6000
2026-04-16,ドリップパックギフト,ギフト,大阪,4,3200,12800
2026-04-16,タンブラー,雑貨,名古屋,5,2800,14000
2026-04-17,タンブラー,雑貨,その他,3,2800,8400
2026-04-17,定期便（月1）,サブスク,その他,4,3600,14400
2026-04-17,タンブラー,雑貨,名古屋,3,2800,8400
2026-04-17,ドリップパックギフト,ギフト,その他,2,3200,6400
2026-04-17,マグカップ,雑貨,名古屋,1,1800,1800
2026-04-18,カフェオレベース,食品,名古屋,2,980,1960
2026-04-18,ギフトセット,ギフト,東京,4,4500,18000
2026-04-18,カフェオレベース,食品,名古屋,2,980,1960
2026-04-18,タンブラー,雑貨,福岡,3,2800,8400
2026-04-18,ドリップコーヒー12杯,食品,福岡,4,1200,4800
2026-04-19,ドリップパックギフト,ギフト,福岡,5,3200,16000
2026-04-19,カフェオレベース,食品,名古屋,1,980,980
2026-04-19,カフェオレベース,食品,大阪,2,980,1960
2026-04-19,カフェオレベース,食品,福岡,2,980,1960
2026-04-20,ギフトセット,ギフト,札幌,2,4500,9000
2026-04-20,ドリップパックギフト,ギフト,福岡,5,3200,16000
2026-04-20,コーヒー豆200g,食品,東京,4,1500,6000
2026-04-20,コーヒー豆200g,食品,大阪,1,1500,1500
2026-04-21,カフェオレベース,食品,札幌,1,980,980
2026-04-21,マグカップ,雑貨,名古屋,5,1800,9000
2026-04-21,定期便（月1）,サブスク,大阪,4,3600,14400
2026-04-21,カフェオレベース,食品,名古屋,2,980,1960
2026-04-21,マグカップ,雑貨,福岡,4,1800,7200
2026-04-21,ドリップコーヒー12杯,食品,札幌,3,1200,3600
2026-04-22,マグカップ,雑貨,東京,1,1800,1800
2026-04-22,定期便（月1）,サブスク,東京,5,3600,18000
2026-04-22,コーヒー豆200g,食品,その他,1,1500,1500
2026-04-23,定期便（月1）,サブスク,東京,4,3600,14400
2026-04-23,ドリップパックギフト,ギフト,福岡,2,3200,6400
2026-04-23,タンブラー,雑貨,東京,1,2800,2800
2026-04-23,ギフトセット,ギフト,その他,3,4500,13500
2026-04-24,コーヒー豆200g,食品,東京,5,1500,7500
2026-04-24,ギフトセット,ギフト,大阪,2,4500,9000
2026-04-24,タンブラー,雑貨,札幌,4,2800,11200
2026-04-25,ギフトセット,ギフト,その他,5,4500,22500
2026-04-25,ドリップパックギフト,ギフト,札幌,5,3200,16000
2026-04-25,マグカップ,雑貨,札幌,1,1800,1800
2026-04-25,カフェオレベース,食品,札幌,4,980,3920
2026-04-25,ドリップパックギフト,ギフト,その他,4,3200,12800
2026-04-25,タンブラー,雑貨,大阪,5,2800,14000
2026-04-26,定期便（月1）,サブスク,大阪,2,3600,7200
2026-04-26,タンブラー,雑貨,その他,4,2800,11200
2026-04-26,タンブラー,雑貨,大阪,4,2800,11200
2026-04-27,マグカップ,雑貨,大阪,2,1800,3600
2026-04-27,ギフトセット,ギフト,大阪,3,4500,13500
2026-04-27,タンブラー,雑貨,福岡,5,2800,14000
2026-04-28,ドリップコーヒー12杯,食品,その他,2,1200,2400
2026-04-28,ドリップパックギフト,ギフト,その他,2,3200,6400
2026-04-28,カフェオレベース,食品,福岡,2,980,1960
2026-04-28,コーヒー豆200g,食品,名古屋,1,1500,1500
2026-04-28,ドリップコーヒー12杯,食品,札幌,5,1200,6000
2026-04-28,カフェオレベース,食品,札幌,1,980,980
2026-04-29,タンブラー,雑貨,東京,4,2800,11200
2026-04-29,コーヒー豆200g,食品,その他,5,1500,7500
2026-04-29,コーヒー豆200g,食品,福岡,4,1500,6000
2026-04-30,ギフトセット,ギフト,札幌,1,4500,4500
2026-04-30,コーヒー豆200g,食品,札幌,1,1500,1500
2026-04-30,ギフトセット,ギフト,東京,5,4500,22500
2026-04-30,ドリップコーヒー12杯,食品,福岡,1,1200,1200
2026-05-01,定期便（月1）,サブスク,大阪,4,3600,14400
2026-05-01,マグカップ,雑貨,大阪,3,1800,5400
2026-05-01,マグカップ,雑貨,名古屋,4,1800,7200
2026-05-01,タンブラー,雑貨,福岡,1,2800,2800
2026-05-02,ギフトセット,ギフト,大阪,3,4500,13500
2026-05-02,カフェオレベース,食品,大阪,4,980,3920
2026-05-02,ドリップコーヒー12杯,食品,東京,1,1200,1200
2026-05-02,ドリップパックギフト,ギフト,名古屋,4,3200,12800
2026-05-02,ギフトセット,ギフト,札幌,4,4500,18000
2026-05-02,カフェオレベース,食品,東京,1,980,980
2026-05-03,タンブラー,雑貨,その他,5,2800,14000
2026-05-03,ギフトセット,ギフト,東京,3,4500,13500
2026-05-03,ギフトセット,ギフト,東京,2,4500,9000
2026-05-03,定期便（月1）,サブスク,福岡,1,3600,3600
2026-05-03,ドリップパックギフト,ギフト,名古屋,1,3200,3200
2026-05-04,定期便（月1）,サブスク,福岡,1,3600,3600
2026-05-04,カフェオレベース,食品,その他,5,980,4900
2026-05-04,ギフトセット,ギフト,札幌,4,4500,18000
2026-05-04,マグカップ,雑貨,福岡,1,1800,1800
2026-05-04,ドリップパックギフト,ギフト,その他,5,3200,16000
2026-05-04,カフェオレベース,食品,その他,1,980,980
2026-05-05,定期便（月1）,サブスク,名古屋,1,3600,3600
2026-05-05,マグカップ,雑貨,東京,1,1800,1800
2026-05-05,カフェオレベース,食品,その他,1,980,980
2026-05-06,コーヒー豆200g,食品,その他,2,1500,3000
2026-05-06,定期便（月1）,サブスク,東京,4,3600,14400
2026-05-06,ドリップコーヒー12杯,食品,その他,2,1200,2400
2026-05-06,タンブラー,雑貨,札幌,4,2800,11200
2026-05-07,コーヒー豆200g,食品,その他,5,1500,7500
2026-05-07,ドリップコーヒー12杯,食品,福岡,4,1200,4800
2026-05-07,ドリップコーヒー12杯,食品,札幌,2,1200,2400
2026-05-07,ドリップパックギフト,ギフト,大阪,1,3200,3200
2026-05-07,コーヒー豆200g,食品,札幌,2,1500,3000
2026-05-07,ドリップコーヒー12杯,食品,福岡,1,1200,1200
2026-05-08,定期便（月1）,サブスク,名古屋,2,3600,7200
2026-05-08,ドリップパックギフト,ギフト,大阪,1,3200,3200
2026-05-08,コーヒー豆200g,食品,札幌,5,1500,7500
2026-05-09,コーヒー豆200g,食品,大阪,2,1500,3000
2026-05-09,マグカップ,雑貨,名古屋,3,1800,5400
2026-05-09,コーヒー豆200g,食品,大阪,1,1500,1500
2026-05-09,ギフトセット,ギフト,大阪,1,4500,4500
2026-05-09,ドリップパックギフト,ギフト,東京,2,3200,6400
2026-05-09,ドリップコーヒー12杯,食品,その他,4,1200,4800
2026-05-10,カフェオレベース,食品,その他,5,980,4900
2026-05-10,タンブラー,雑貨,その他,4,2800,11200
2026-05-10,ドリップパックギフト,ギフト,東京,2,3200,6400
2026-05-10,ドリップパックギフト,ギフト,東京,1,3200,3200
2026-05-10,カフェオレベース,食品,大阪,1,980,980
2026-05-10,定期便（月1）,サブスク,名古屋,5,3600,18000
2026-05-11,定期便（月1）,サブスク,大阪,5,3600,18000
2026-05-11,タンブラー,雑貨,福岡,5,2800,14000
2026-05-11,ドリップコーヒー12杯,食品,札幌,5,1200,6000
2026-05-11,マグカップ,雑貨,名古屋,2,1800,3600
2026-05-11,マグカップ,雑貨,福岡,1,1800,1800
2026-05-11,ギフトセット,ギフト,東京,3,4500,13500
2026-05-12,ドリップパックギフト,ギフト,福岡,5,3200,16000
2026-05-12,コーヒー豆200g,食品,大阪,4,1500,6000
2026-05-12,定期便（月1）,サブスク,東京,3,3600,10800
2026-05-12,定期便（月1）,サブスク,名古屋,1,3600,3600
2026-05-13,ギフトセット,ギフト,札幌,4,4500,18000
2026-05-13,カフェオレベース,食品,その他,1,980,980
2026-05-13,マグカップ,雑貨,札幌,4,1800,7200
2026-05-13,タンブラー,雑貨,福岡,4,2800,11200
2026-05-13,定期便（月1）,サブスク,名古屋,4,3600,14400
2026-05-13,コーヒー豆200g,食品,その他,1,1500,1500
2026-05-14,マグカップ,雑貨,札幌,3,1800,5400
2026-05-14,ギフトセット,ギフト,東京,4,4500,18000
2026-05-14,カフェオレベース,食品,大阪,3,980,2940
2026-05-15,ドリップパックギフト,ギフト,札幌,3,3200,9600
2026-05-15,マグカップ,雑貨,福岡,1,1800,1800
2026-05-15,マグカップ,雑貨,札幌,2,1800,3600
2026-05-15,コーヒー豆200g,食品,東京,2,1500,3000
2026-05-15,ドリップパックギフト,ギフト,札幌,5,3200,16000
2026-05-15,マグカップ,雑貨,その他,2,1800,3600
2026-05-16,マグカップ,雑貨,福岡,5,1800,9000
2026-05-16,タンブラー,雑貨,名古屋,4,2800,11200
2026-05-16,定期便（月1）,サブスク,その他,4,3600,14400
2026-05-17,タンブラー,雑貨,東京,5,2800,14000
2026-05-17,タンブラー,雑貨,東京,1,2800,2800
2026-05-17,タンブラー,雑貨,大阪,3,2800,8400
2026-05-17,マグカップ,雑貨,名古屋,2,1800,3600
2026-05-17,ドリップパックギフト,ギフト,大阪,4,3200,12800
2026-05-18,ドリップコーヒー12杯,食品,名古屋,3,1200,3600
2026-05-18,マグカップ,雑貨,その他,1,1800,1800
2026-05-18,マグカップ,雑貨,札幌,2,1800,3600
2026-05-19,カフェオレベース,食品,東京,1,980,980
2026-05-19,ドリップパックギフト,ギフト,福岡,2,3200,6400
2026-05-19,カフェオレベース,食品,東京,3,980,2940
2026-05-19,マグカップ,雑貨,大阪,3,1800,5400
2026-05-20,カフェオレベース,食品,東京,1,980,980
2026-05-20,ギフトセット,ギフト,札幌,5,4500,22500
2026-05-20,定期便（月1）,サブスク,札幌,3,3600,10800
2026-05-20,マグカップ,雑貨,大阪,4,1800,7200
2026-05-21,ギフトセット,ギフト,名古屋,5,4500,22500
2026-05-21,タンブラー,雑貨,その他,5,2800,14000
2026-05-21,コーヒー豆200g,食品,その他,3,1500,4500
2026-05-21,カフェオレベース,食品,東京,5,980,4900
2026-05-22,定期便（月1）,サブスク,その他,3,3600,10800
2026-05-22,カフェオレベース,食品,大阪,5,980,4900
2026-05-22,ドリップパックギフト,ギフト,札幌,5,3200,16000
2026-05-22,マグカップ,雑貨,その他,5,1800,9000
2026-05-22,マグカップ,雑貨,東京,2,1800,3600
2026-05-23,ギフトセット,ギフト,札幌,5,4500,22500
2026-05-23,定期便（月1）,サブスク,東京,2,3600,7200
2026-05-23,マグカップ,雑貨,大阪,4,1800,7200
2026-05-23,ドリップパックギフト,ギフト,大阪,1,3200,3200
2026-05-24,マグカップ,雑貨,大阪,1,1800,1800
2026-05-24,マグカップ,雑貨,大阪,5,1800,9000
2026-05-24,ギフトセット,ギフト,名古屋,4,4500,18000
2026-05-24,ドリップコーヒー12杯,食品,名古屋,1,1200,1200
2026-05-24,コーヒー豆200g,食品,大阪,1,1500,1500
2026-05-25,定期便（月1）,サブスク,名古屋,4,3600,14400
2026-05-25,ドリップコーヒー12杯,食品,名古屋,1,1200,1200
2026-05-25,定期便（月1）,サブスク,大阪,5,3600,18000
2026-05-25,ドリップパックギフト,ギフト,その他,3,3200,9600
2026-05-26,定期便（月1）,サブスク,福岡,3,3600,10800
2026-05-26,コーヒー豆200g,食品,大阪,3,1500,4500
2026-05-26,ドリップコーヒー12杯,食品,福岡,4,1200,4800
2026-05-26,ドリップコーヒー12杯,食品,大阪,2,1200,2400
2026-05-27,コーヒー豆200g,食品,札幌,3,1500,4500
2026-05-27,タンブラー,雑貨,その他,5,2800,14000
2026-05-27,ギフトセット,ギフト,札幌,5,4500,22500
2026-05-27,ギフトセット,ギフト,福岡,5,4500,22500
2026-05-27,マグカップ,雑貨,東京,3,1800,5400
2026-05-27,タンブラー,雑貨,大阪,4,2800,11200
2026-05-28,カフェオレベース,食品,大阪,4,980,3920
2026-05-28,マグカップ,雑貨,その他,4,1800,7200
2026-05-28,ギフトセット,ギフト,その他,1,4500,4500
2026-05-29,マグカップ,雑貨,大阪,3,1800,5400
2026-05-29,定期便（月1）,サブスク,福岡,4,3600,14400
2026-05-29,ドリップコーヒー12杯,食品,その他,1,1200,1200
2026-05-29,定期便（月1）,サブスク,札幌,2,3600,7200
2026-05-29,マグカップ,雑貨,東京,3,1800,5400
2026-05-30,コーヒー豆200g,食品,東京,3,1500,4500
2026-05-30,ドリップパックギフト,ギフト,札幌,2,3200,6400
2026-05-30,コーヒー豆200g,食品,東京,3,1500,4500
2026-05-31,カフェオレベース,食品,名古屋,4,980,3920
2026-05-31,ギフトセット,ギフト,福岡,2,4500,9000
2026-05-31,ギフトセット,ギフト,大阪,3,4500,13500
2026-05-31,定期便（月1）,サブスク,札幌,1,3600,3600
2026-05-31,タンブラー,雑貨,大阪,2,2800,5600
2026-06-01,ギフトセット,ギフト,その他,2,4500,9000
2026-06-01,コーヒー豆200g,食品,札幌,4,1500,6000
2026-06-01,定期便（月1）,サブスク,その他,2,3600,7200
2026-06-02,ギフトセット,ギフト,名古屋,5,4500,22500
2026-06-02,定期便（月1）,サブスク,札幌,3,3600,10800
2026-06-02,コーヒー豆200g,食品,札幌,1,1500,1500
2026-06-03,定期便（月1）,サブスク,札幌,2,3600,7200
2026-06-03,ドリップパックギフト,ギフト,東京,1,3200,3200
2026-06-03,ドリップパックギフト,ギフト,福岡,1,3200,3200
2026-06-03,マグカップ,雑貨,大阪,1,1800,1800
2026-06-03,ギフトセット,ギフト,その他,1,4500,4500
2026-06-04,タンブラー,雑貨,東京,4,2800,11200
2026-06-04,定期便（月1）,サブスク,福岡,1,3600,3600
2026-06-04,定期便（月1）,サブスク,名古屋,1,3600,3600
2026-06-04,カフェオレベース,食品,名古屋,4,980,3920
2026-06-04,ドリップコーヒー12杯,食品,名古屋,4,1200,4800
2026-06-05,マグカップ,雑貨,その他,1,1800,1800
2026-06-05,ギフトセット,ギフト,名古屋,4,4500,18000
2026-06-05,コーヒー豆200g,食品,その他,1,1500,1500
2026-06-05,マグカップ,雑貨,福岡,5,1800,9000
2026-06-05,タンブラー,雑貨,札幌,2,2800,5600
2026-06-05,ドリップコーヒー12杯,食品,その他,1,1200,1200
2026-06-06,マグカップ,雑貨,東京,1,1800,1800
2026-06-06,定期便（月1）,サブスク,札幌,1,3600,3600
2026-06-06,定期便（月1）,サブスク,福岡,2,3600,7200
2026-06-06,カフェオレベース,食品,札幌,3,980,2940
2026-06-06,カフェオレベース,食品,福岡,2,980,1960
2026-06-07,コーヒー豆200g,食品,福岡,1,1500,1500
2026-06-07,マグカップ,雑貨,東京,4,1800,7200
2026-06-07,定期便（月1）,サブスク,その他,2,3600,7200
2026-06-07,ドリップパックギフト,ギフト,東京,3,3200,9600
2026-06-07,ギフトセット,ギフト,名古屋,2,4500,9000
2026-06-07,タンブラー,雑貨,札幌,4,2800,11200
2026-06-08,タンブラー,雑貨,東京,5,2800,14000
2026-06-08,マグカップ,雑貨,東京,3,1800,5400
2026-06-08,ギフトセット,ギフト,東京,1,4500,4500
2026-06-08,マグカップ,雑貨,その他,5,1800,9000
2026-06-09,ドリップパックギフト,ギフト,東京,4,3200,12800
2026-06-09,ドリップパックギフト,ギフト,その他,5,3200,16000
2026-06-09,カフェオレベース,食品,その他,1,980,980
2026-06-10,カフェオレベース,食品,名古屋,1,980,980
2026-06-10,コーヒー豆200g,食品,名古屋,5,1500,7500
2026-06-10,マグカップ,雑貨,札幌,4,1800,7200
2026-06-10,ドリップコーヒー12杯,食品,大阪,3,1200,3600
2026-06-11,ドリップパックギフト,ギフト,大阪,5,3200,16000
2026-06-11,定期便（月1）,サブスク,札幌,3,3600,10800
2026-06-11,タンブラー,雑貨,福岡,3,2800,8400
2026-06-11,カフェオレベース,食品,その他,1,980,980
2026-06-11,ギフトセット,ギフト,その他,5,4500,22500
2026-06-11,ドリップコーヒー12杯,食品,東京,1,1200,1200
2026-06-12,ドリップパックギフト,ギフト,札幌,1,3200,3200
2026-06-12,定期便（月1）,サブスク,東京,5,3600,18000
2026-06-12,タンブラー,雑貨,東京,5,2800,14000
2026-06-12,マグカップ,雑貨,東京,5,1800,9000
2026-06-12,定期便（月1）,サブスク,札幌,2,3600,7200
2026-06-13,マグカップ,雑貨,札幌,5,1800,9000
2026-06-13,カフェオレベース,食品,大阪,2,980,1960
2026-06-13,タンブラー,雑貨,大阪,4,2800,11200
2026-06-14,コーヒー豆200g,食品,大阪,1,1500,1500
2026-06-14,コーヒー豆200g,食品,札幌,4,1500,6000
2026-06-14,ドリップコーヒー12杯,食品,その他,5,1200,6000
2026-06-14,定期便（月1）,サブスク,名古屋,2,3600,7200
2026-06-15,定期便（月1）,サブスク,東京,3,3600,10800
2026-06-15,定期便（月1）,サブスク,大阪,2,3600,7200
2026-06-15,タンブラー,雑貨,その他,1,2800,2800
2026-06-15,定期便（月1）,サブスク,福岡,3,3600,10800
2026-06-15,ギフトセット,ギフト,東京,2,4500,9000
2026-06-15,コーヒー豆200g,食品,大阪,1,1500,1500
2026-06-16,マグカップ,雑貨,その他,3,1800,5400
2026-06-16,ドリップパックギフト,ギフト,札幌,3,3200,9600
2026-06-16,コーヒー豆200g,食品,福岡,4,1500,6000
2026-06-16,マグカップ,雑貨,札幌,2,1800,3600
2026-06-16,カフェオレベース,食品,東京,1,980,980
2026-06-16,定期便（月1）,サブスク,福岡,4,3600,14400
2026-06-17,ドリップパックギフト,ギフト,その他,5,3200,16000
2026-06-17,コーヒー豆200g,食品,大阪,2,1500,3000
2026-06-17,ドリップパックギフト,ギフト,札幌,4,3200,12800
2026-06-17,コーヒー豆200g,食品,その他,2,1500,3000
2026-06-18,タンブラー,雑貨,福岡,5,2800,14000
2026-06-18,定期便（月1）,サブスク,名古屋,3,3600,10800
2026-06-18,ドリップパックギフト,ギフト,名古屋,5,3200,16000
2026-06-18,タンブラー,雑貨,東京,3,2800,8400
2026-06-18,ギフトセット,ギフト,福岡,5,4500,22500
2026-06-19,ギフトセット,ギフト,大阪,4,4500,18000
2026-06-19,カフェオレベース,食品,札幌,3,980,2940
2026-06-19,ドリップコーヒー12杯,食品,名古屋,2,1200,2400
2026-06-19,マグカップ,雑貨,大阪,2,1800,3600
2026-06-20,カフェオレベース,食品,東京,1,980,980
2026-06-20,定期便（月1）,サブスク,大阪,3,3600,10800
2026-06-20,ドリップコーヒー12杯,食品,東京,1,1200,1200
2026-06-20,ドリップパックギフト,ギフト,東京,1,3200,3200
2026-06-20,定期便（月1）,サブスク,その他,5,3600,18000
2026-06-21,タンブラー,雑貨,東京,4,2800,11200
2026-06-21,ドリップパックギフト,ギフト,名古屋,3,3200,9600
2026-06-21,ギフトセット,ギフト,札幌,3,4500,13500
2026-06-21,タンブラー,雑貨,大阪,3,2800,8400
2026-06-21,ドリップパックギフト,ギフト,福岡,1,3200,3200
2026-06-21,マグカップ,雑貨,大阪,5,1800,9000
2026-06-22,タンブラー,雑貨,札幌,3,2800,8400
2026-06-22,定期便（月1）,サブスク,東京,5,3600,18000
2026-06-22,マグカップ,雑貨,東京,4,1800,7200
2026-06-23,ドリップパックギフト,ギフト,東京,5,3200,16000
2026-06-23,ギフトセット,ギフト,福岡,3,4500,13500
2026-06-23,ギフトセット,ギフト,福岡,4,4500,18000
2026-06-23,ドリップコーヒー12杯,食品,大阪,5,1200,6000
2026-06-23,ギフトセット,ギフト,名古屋,2,4500,9000
2026-06-24,カフェオレベース,食品,福岡,3,980,2940
2026-06-24,ドリップパックギフト,ギフト,その他,5,3200,16000
2026-06-24,定期便（月1）,サブスク,福岡,1,3600,3600
2026-06-24,タンブラー,雑貨,大阪,1,2800,2800
2026-06-25,タンブラー,雑貨,大阪,2,2800,5600
2026-06-25,カフェオレベース,食品,大阪,1,980,980
2026-06-25,タンブラー,雑貨,大阪,2,2800,5600
2026-06-25,定期便（月1）,サブスク,東京,5,3600,18000
2026-06-25,タンブラー,雑貨,名古屋,5,2800,14000
2026-06-26,定期便（月1）,サブスク,その他,2,3600,7200
2026-06-26,ドリップパックギフト,ギフト,その他,1,3200,3200
2026-06-26,ドリップパックギフト,ギフト,福岡,1,3200,3200
2026-06-26,定期便（月1）,サブスク,福岡,1,3600,3600
2026-06-26,マグカップ,雑貨,東京,4,1800,7200
2026-06-26,ギフトセット,ギフト,東京,5,4500,22500
2026-06-27,タンブラー,雑貨,札幌,1,2800,2800
2026-06-27,定期便（月1）,サブスク,名古屋,3,3600,10800
2026-06-27,定期便（月1）,サブスク,名古屋,4,3600,14400
2026-06-27,マグカップ,雑貨,その他,5,1800,9000
2026-06-27,ドリップパックギフト,ギフト,東京,4,3200,12800
2026-06-27,ギフトセット,ギフト,東京,1,4500,4500
2026-06-28,定期便（月1）,サブスク,その他,4,3600,14400
2026-06-28,タンブラー,雑貨,福岡,2,2800,5600
2026-06-28,コーヒー豆200g,食品,その他,1,1500,1500
2026-06-28,ギフトセット,ギフト,東京,5,4500,22500
2026-06-28,タンブラー,雑貨,札幌,3,2800,8400
2026-06-29,定期便（月1）,サブスク,その他,5,3600,18000
2026-06-29,定期便（月1）,サブスク,東京,4,3600,14400
2026-06-29,カフェオレベース,食品,札幌,2,980,1960
2026-06-29,マグカップ,雑貨,札幌,5,1800,9000
2026-06-29,定期便（月1）,サブスク,名古屋,5,3600,18000
2026-06-29,カフェオレベース,食品,大阪,3,980,2940
2026-06-30,マグカップ,雑貨,大阪,1,1800,1800
2026-06-30,ドリップパックギフト,ギフト,その他,5,3200,16000
2026-06-30,タンブラー,雑貨,札幌,2,2800,5600
2026-06-30,カフェオレベース,食品,福岡,5,980,4900
2026-06-30,ドリップコーヒー12杯,食品,東京,1,1200,1200
2026-06-30,タンブラー,雑貨,名古屋,2,2800,5600
